departamento,codigo_via,kilometro,modalidad,hora_siniestro,mes,dia_semana,es_noche,fatal
AREQUIPA,PE-34A,120.0,CHOQUE,22.0,1.0,THURSDAY,1,0
JUNIN,PE-22,135.0,CHOQUE,7.0,1.0,THURSDAY,0,0
ANCASH,PE-1N,432.0,ESPECIAL,23.0,1.0,THURSDAY,1,0
SAN MARTIN,PE-5N,634.0,ESPECIAL,6.0,1.0,THURSDAY,0,0
LA LIBERTAD,PE-1N,655.0,DESPISTE,9.0,1.0,THURSDAY,0,0
AREQUIPA,PE-1S,823.0,ATROPELLO,10.0,1.0,THURSDAY,0,1
CUSCO,PE-3S,1067.0,DESPISTE,20.0,1.0,THURSDAY,1,0
TACNA,PE-1SD,28.0,CHOQUE,23.0,1.0,FRIDAY,1,0
LIMA,PE-1S,70.0,DESPISTE,23.0,1.0,FRIDAY,1,0
ICA,PE-30A,71.0,DESPISTE,12.0,1.0,FRIDAY,0,1
CAJAMARCA,PE-06B,79.0,CHOQUE,20.0,1.0,FRIDAY,1,0
LIMA,PE-1S,91.0,ATROPELLO,23.0,1.0,FRIDAY,1,1
JUNIN,PE-3N,94.0,CHOQUE,19.0,1.0,FRIDAY,1,0
LIMA,PE-1S,101.0,CHOQUE,16.0,1.0,FRIDAY,0,0
LIMA,PE-1S,129.0,DESPISTE,17.0,1.0,FRIDAY,0,0
LAMBAYEQUE,PE-06A,167.0,DESPISTE,17.0,1.0,FRIDAY,0,0
AREQUIPA,PE-34A,179.0,DESPISTE,5.0,1.0,FRIDAY,0,1
ICA,PE-1S,195.0,CHOQUE,6.0,1.0,FRIDAY,0,0
AMAZONAS,PE-5N,264.0,DESPISTE,2.0,1.0,FRIDAY,0,0
LA LIBERTAD,PE-1N,506.0,ESPECIAL,17.0,1.0,FRIDAY,0,0
LA LIBERTAD,PE-1N,620.0,CHOQUE,6.0,1.0,FRIDAY,0,0
ANCASH,AN-110,3.0,CHOQUE,17.0,1.0,SATURDAY,0,0
AREQUIPA,PE-34E,20.0,CHOQUE,17.0,1.0,SATURDAY,0,0
LIMA,PE-1N,22.0,ATROPELLO,11.0,1.0,SATURDAY,0,0
LIMA,PE-1N,75.0,ESPECIAL,10.0,1.0,SATURDAY,0,0
LIMA,PE-22,87.0,CHOQUE,3.0,1.0,SATURDAY,0,0
CAJAMARCA,PE-3N,94.0,CHOQUE,7.0,1.0,SATURDAY,0,0
LIMA,PE-22,100.0,CHOQUE,7.0,1.0,SATURDAY,0,0
CUSCO,PE-28B,101.0,DESPISTE,3.0,1.0,SATURDAY,0,0
JUNIN,PE-3S,124.0,CHOQUE,23.0,1.0,SATURDAY,1,0
PUNO,PE-34H,131.0,CHOQUE,14.0,1.0,SATURDAY,0,0
JUNIN,PE-22,160.0,DESPISTE,22.0,1.0,SATURDAY,1,0
ICA,PE-1S,187.0,CHOQUE,6.0,1.0,SATURDAY,0,0
LA LIBERTAD,PE-1N,518.0,CHOQUE,20.0,1.0,SATURDAY,1,0
AREQUIPA,PE-1S,587.0,DESPISTE,17.0,1.0,SATURDAY,0,0
LAMBAYEQUE,PE-1N,768.0,CHOQUE,20.0,1.0,SATURDAY,1,0
PIURA,PE-1N,971.0,CHOQUE,0.0,1.0,SATURDAY,0,0
AREQUIPA,PE-1S,987.0,CHOQUE,5.0,1.0,SATURDAY,0,0
CUSCO,PE-3S,993.0,CHOQUE,1.0,1.0,SATURDAY,0,1
CUSCO,PE-3S,1106.0,CHOQUE,4.0,1.0,SATURDAY,0,0
MOQUEGUA,PE-1S,1261.0,CHOQUE,11.0,1.0,SATURDAY,0,0
PUNO,PE-34H,6.0,CHOQUE,19.0,1.0,SUNDAY,1,1
LAMBAYEQUE,PE-08,9.0,CHOQUE,4.0,1.0,SUNDAY,0,1
ANCASH,AN-111,20.0,DESPISTE,15.0,1.0,SUNDAY,0,0
LIMA,PE-1N,43.0,CHOQUE,0.0,1.0,SUNDAY,0,0
LIMA,PE-22,60.0,CHOQUE,1.0,1.0,SUNDAY,0,0
LIMA,PE-1N,63.0,DESPISTE,16.0,1.0,SUNDAY,0,0
LIMA,PE-1S,66.0,DESPISTE,6.0,1.0,SUNDAY,0,0
UCAYALI,PE-18C,96.0,CHOQUE,23.0,1.0,SUNDAY,1,1
LIMA,PE-22,98.0,DESPISTE,7.0,1.0,SUNDAY,0,0
AREQUIPA,PE-1SD,119.0,DESPISTE,16.0,1.0,SUNDAY,0,0
JUNIN,PE-3S,137.0,CHOQUE,14.0,1.0,SUNDAY,0,0
LIMA,PE-1N,159.0,CHOQUE,1.0,1.0,SUNDAY,0,1
